n,p,b,time
1440,1,2,1399.832
1440,4,2,362.1604
1440,9,2,178.1333
1440,16,2,107.9948
1440,25,2,78.94237
1440,36,2,76.38185
1440,64,2,51.81569
1440,81,2,42.928
1440,100,2,40.1382
1440,144,2,41.07292
1440,225,2,42.01489
