Function                                                                                             Module                     CPU Time  Spin Time:Imbalance or Serial Spinning (OpenMP)  Spin Time:Lock Contention (OpenMP)  Spin Time:Communication (MPI)  Spin Time:Other  Overhead Time:Creation (OpenMP)  Overhead Time:Scheduling (OpenMP)  Overhead Time:Reduction (OpenMP)  Overhead Time:Other
func@0x20040                                                                                         libittnotify_collector.so    0.011s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
Central2D<Shallow2D, MinMod<float, std::vector<float, std::allocator<float>>>>::solution_check       shallow                      0.010s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmpc_for_static_fini                                                                               libiomp5.so                  0.009s                                               0s                                  0s                             0s               0s                               0s                             0.009s                                0s                   0s
SimViz<Central2D<Shallow2D, MinMod<float, std::vector<float, std::allocator<float>>>>>::write_frame  shallow                      0.008s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
[OpenMP dispatcher]                                                                                  libiomp5.so                  0.007s                                               0s                                  0s                             0s               0s                           0.007s                                 0s                                0s                   0s
_IO_vfprintf                                                                                         libc-2.12.so                 0.006s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_task_team_sync                                                                                 libiomp5.so                  0.006s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s               0.006s
__kmp_release_template<kmp_flag_64>                                                                  libiomp5.so                  0.005s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s               0.005s
kmp_basic_flag<unsigned long long>::notdone_check                                                    libiomp5.so                  0.005s                                           0.005s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_invoke_microtask                                                                               libiomp5.so                  0.004s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s               0.004s
__kmp_join_barrier                                                                                   libiomp5.so                  0.004s                                           0.004s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
Central2D<Shallow2D, MinMod<float, std::vector<float, std::allocator<float>>>>::limited_derivs       shallow                      0.003s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
_IO_default_xsputn                                                                                   libc-2.12.so                 0.003s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_fork_call                                                                                      libiomp5.so                  0.003s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s               0.003s
__kmp_x86_pause                                                                                      libiomp5.so                  0.003s                                           0.003s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmpc_for_static_init_4                                                                             libiomp5.so                  0.003s                                               0s                                  0s                             0s               0s                               0s                             0.003s                                0s                   0s
__pthread_getspecific                                                                                libpthread-2.12.so           0.003s                                               0s                                  0s                             0s           0.003s                               0s                                 0s                                0s                   0s
func@0xed10                                                                                          libittnotify_collector.so    0.003s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
kmp_basic_flag<unsigned long long>::done_check                                                       libiomp5.so                  0.003s                                           0.003s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
_IO_setb                                                                                             libc-2.12.so                 0.002s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
_IO_str_init_static_internal                                                                         libc-2.12.so                 0.002s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__itt_get_timestamp                                                                                  libittnotify_collector.so    0.002s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
__kmp_str_split                                                                                      libiomp5.so                  0.002s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s               0.002s
copy_icvs                                                                                            libiomp5.so                  0.002s                                           0.002s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
func@0x1b9d0                                                                                         libittnotify_collector.so    0.002s                                               0s                                  0s                             0s               0s                               0s                                 0s                                0s                   0s
