1,200,4.95108
1,210,5.59446
1,220,7.00369
1,230,7.87758
1,240,8.51616
1,250,9.73693
1,260,11.3373
1,270,12.4982
1,280,13.4736
1,290,14.5404
1,300,17.0414
2,200,4.81198
2,210,5.44322
2,220,6.79535
2,230,7.59068
2,240,8.26081
2,250,9.4554
2,260,11.014
2,270,12.0074
2,280,13.0681
2,290,14.2672
2,300,16.5309
3,200,4.78934
3,210,5.36674
3,220,6.75807
3,230,7.48481
3,240,8.16866
3,250,9.45103
3,260,10.8535
3,270,11.9716
3,280,12.9378
3,290,14.0416
3,300,16.3447
4,200,4.72508
4,210,5.42703
4,220,6.70448
4,230,7.44214
4,240,8.10226
4,250,9.29084
4,260,10.7992
4,270,11.7978
4,280,12.8611
4,290,13.854
4,300,16.2542
5,200,4.73274
5,210,5.55934
5,220,6.89324
5,230,7.80807
5,240,8.57581
5,250,9.7007
5,260,10.9334
5,270,12.1751
5,280,12.8399
5,290,14.5547
5,300,16.8002
6,200,5.15371
6,210,5.84493
6,220,7.38245
6,230,8.16375
6,240,8.86403
6,250,10.3411
6,260,11.8198
6,270,12.8293
6,280,14.1676
6,290,15.139
6,300,17.7602
7,200,5.26398
7,210,5.94714
7,220,7.53316
7,230,8.39809
7,240,9.18281
7,250,10.4068
7,260,12.2125
7,270,13.0294
7,280,14.4832
7,290,15.5641
7,300,18.0948
8,200,5.32351
8,210,6.03621
8,220,7.55222
8,230,8.51846
8,240,9.13798
8,250,10.6074
8,260,12.3353
8,270,13.2169
8,280,15.0426
8,290,15.9915
8,300,18.3313
9,200,5.50981
9,210,6.29262
9,220,7.80165
9,230,8.56353
9,240,9.28388
9,250,11.001
9,260,12.4314
9,270,13.6267
9,280,15.0112
9,290,15.8855
9,300,18.5767
10,200,5.31972
10,210,6.14612
10,220,7.87627
10,230,8.72358
10,240,9.81399
10,250,10.8989
10,260,13.0864
10,270,13.722
10,280,15.0836
10,290,16.2225
10,300,19.0103
11,200,5.45538
11,210,6.46803
11,220,8.09693
11,230,9.03466
11,240,9.84988
11,250,11.3085
11,260,13.1001
11,270,14.2543
11,280,15.0667
11,290,16.8051
11,300,19.6888
12,200,5.69043
12,210,6.52279
12,220,7.93267
12,230,9.1395
12,240,9.88935
12,250,11.3145
12,260,13.125
12,270,14.3346
12,280,15.7315
12,290,16.7599
12,300,19.7211
